stato,livello_acqua,tot_pompe_attive
StatoMacchina.MACCHINA_ATTIVA,74.76,0
StatoMacchina.ATTIVA_PROSSIMA_POMPA,77.07,0
StatoMacchina.MACCHINA_ATTIVA,75.99,1
StatoMacchina.ATTIVA_PROSSIMA_POMPA,79.52,1
StatoMacchina.MACCHINA_ATTIVA,81.86,2
StatoMacchina.ATTIVA_PROSSIMA_POMPA,81.64,2
StatoMacchina.MACCHINA_ATTIVA,77.39,3
StatoMacchina.ATTIVA_PROSSIMA_POMPA,77.66,3
StatoMacchina.MACCHINA_ATTIVA,76.32,4
StatoMacchina.MACCHINA_ATTIVA,71.53,4
StatoMacchina.MACCHINA_ATTIVA,70.38,4
StatoMacchina.MACCHINA_ATTIVA,71.44,4
StatoMacchina.MACCHINA_ATTIVA,74.25,4
StatoMacchina.MACCHINA_ATTIVA,71.27,4
StatoMacchina.MACCHINA_ATTIVA,69.15,4
StatoMacchina.MACCHINA_ATTIVA,69.66,4
StatoMacchina.MACCHINA_ATTIVA,72.32,4
StatoMacchina.MACCHINA_ATTIVA,74.44,4
StatoMacchina.MACCHINA_ATTIVA,73.11,4
StatoMacchina.MACCHINA_ATTIVA,76.37,4
StatoMacchina.MACCHINA_ATTIVA,74.19,4
StatoMacchina.MACCHINA_ATTIVA,78.22,4
StatoMacchina.ATTIVA_PROSSIMA_POMPA,82.96,4
StatoMacchina.MACCHINA_ATTIVA,86.37,5
StatoMacchina.MACCHINA_ATTIVA,89.46,5
StatoMacchina.ATTIVA_PROSSIMA_POMPA,93.59,5
StatoMacchina.MACCHINA_ATTIVA,90.87,6
StatoMacchina.MACCHINA_ATTIVA,91.07,6
StatoMacchina.MACCHINA_ATTIVA,91.09,6
StatoMacchina.MACCHINA_ATTIVA,86.98,6
StatoMacchina.MACCHINA_ATTIVA,90.63,6
StatoMacchina.MACCHINA_ATTIVA,86.86,6
StatoMacchina.MACCHINA_ATTIVA,83.11,6
StatoMacchina.DISATTIVA_ULTIMA_POMPA,82.24,6
StatoMacchina.MACCHINA_ATTIVA,78.1,5
StatoMacchina.MACCHINA_ATTIVA,78.15,5
StatoMacchina.MACCHINA_ATTIVA,82.53,5
StatoMacchina.MACCHINA_ATTIVA,85.13,5
StatoMacchina.MACCHINA_ATTIVA,89.49,5
StatoMacchina.ATTIVA_PROSSIMA_POMPA,92.7,5
StatoMacchina.MACCHINA_ATTIVA,95.47,6
StatoMacchina.MACCHINA_ATTIVA,95.57,6
StatoMacchina.MACCHINA_ATTIVA,98.98,6
StatoMacchina.MACCHINA_ATTIVA,95.14,6
StatoMacchina.MACCHINA_ATTIVA,98.73,6
StatoMacchina.MACCHINA_ATTIVA,99.18,6
StatoMacchina.MACCHINA_ATTIVA,100,6
StatoMacchina.MACCHINA_ATTIVA,98.95,6
StatoMacchina.MACCHINA_ATTIVA,100,6
StatoMacchina.MACCHINA_ATTIVA,95.02,6
StatoMacchina.MACCHINA_ATTIVA,97.04,6
