stato,livello_acqua,tot_pompe_attive
StatoMacchina.MACCHINA_ATTIVA,60.48,0
StatoMacchina.ATTIVA_PROSSIMA_POMPA,59.07,0
StatoMacchina.MACCHINA_ATTIVA,61.07,1
StatoMacchina.ATTIVA_PROSSIMA_POMPA,65.54,1
StatoMacchina.MACCHINA_ATTIVA,66.21,2
StatoMacchina.ATTIVA_PROSSIMA_POMPA,62.82,2
StatoMacchina.MACCHINA_ATTIVA,58.61,3
StatoMacchina.MACCHINA_ATTIVA,55.96,3
StatoMacchina.MACCHINA_ATTIVA,56.62,3
StatoMacchina.MACCHINA_ATTIVA,60.56,3
StatoMacchina.MACCHINA_ATTIVA,59.99,3
StatoMacchina.MACCHINA_ATTIVA,59.83,3
StatoMacchina.MACCHINA_ATTIVA,58.73,3
StatoMacchina.MACCHINA_ATTIVA,58.74,3
StatoMacchina.MACCHINA_ATTIVA,54.1,3
StatoMacchina.MACCHINA_ATTIVA,58.86,3
StatoMacchina.MACCHINA_ATTIVA,59.75,3
StatoMacchina.MACCHINA_ATTIVA,63.94,3
StatoMacchina.MACCHINA_ATTIVA,65.3,3
StatoMacchina.MACCHINA_ATTIVA,62.44,3
StatoMacchina.MACCHINA_ATTIVA,60.64,3
StatoMacchina.MACCHINA_ATTIVA,65.12,3
StatoMacchina.MACCHINA_ATTIVA,66.04,3
StatoMacchina.MACCHINA_ATTIVA,61.25,3
StatoMacchina.MACCHINA_ATTIVA,57.05,3
StatoMacchina.MACCHINA_ATTIVA,58.86,3
StatoMacchina.MACCHINA_ATTIVA,60.52,3
StatoMacchina.MACCHINA_ATTIVA,65.36,3
StatoMacchina.MACCHINA_ATTIVA,69.39,3
StatoMacchina.ATTIVA_PROSSIMA_POMPA,73.4,3
StatoMacchina.MACCHINA_ATTIVA,70.64,4
StatoMacchina.MACCHINA_ATTIVA,71.74,4
StatoMacchina.MACCHINA_ATTIVA,67.51,4
StatoMacchina.MACCHINA_ATTIVA,65.15,4
StatoMacchina.MACCHINA_ATTIVA,63.55,4
StatoMacchina.MACCHINA_ATTIVA,59.27,4
StatoMacchina.MACCHINA_ATTIVA,57.35,4
StatoMacchina.MACCHINA_ATTIVA,59.68,4
StatoMacchina.MACCHINA_ATTIVA,58.17,4
StatoMacchina.MACCHINA_ATTIVA,54.98,4
StatoMacchina.MACCHINA_ATTIVA,51.74,4
StatoMacchina.MACCHINA_ATTIVA,51.15,4
StatoMacchina.DISATTIVA_ULTIMA_POMPA,47.53,4
StatoMacchina.MACCHINA_ATTIVA,42.69,3
StatoMacchina.MACCHINA_ATTIVA,40.35,3
StatoMacchina.DISATTIVA_ULTIMA_POMPA,36.78,3
StatoMacchina.MACCHINA_ATTIVA,36.6,2
StatoMacchina.MACCHINA_ATTIVA,38.99,2
StatoMacchina.MACCHINA_ATTIVA,36.67,2
StatoMacchina.DISATTIVA_ULTIMA_POMPA,34.18,2
StatoMacchina.MACCHINA_ATTIVA,30.63,1
StatoMacchina.MACCHINA_ATTIVA,27.86,1
StatoMacchina.MACCHINA_ATTIVA,26.02,1
StatoMacchina.MACCHINA_ATTIVA,25.78,1
StatoMacchina.DISATTIVA_ULTIMA_POMPA,21.35,1
StatoMacchina.MACCHINA_ATTIVA,24.64,0
StatoMacchina.MACCHINA_ATTIVA,27.37,0
StatoMacchina.MACCHINA_ATTIVA,32.33,0
StatoMacchina.MACCHINA_ATTIVA,29.28,0
StatoMacchina.MACCHINA_ATTIVA,33.57,0
StatoMacchina.MACCHINA_ATTIVA,29.47,0
StatoMacchina.MACCHINA_ATTIVA,28.58,0
StatoMacchina.MACCHINA_ATTIVA,23.83,0
StatoMacchina.MACCHINA_ATTIVA,26.06,0
StatoMacchina.MACCHINA_ATTIVA,26.23,0
StatoMacchina.MACCHINA_ATTIVA,24.45,0
StatoMacchina.MACCHINA_ATTIVA,22.17,0
StatoMacchina.MACCHINA_ATTIVA,26.98,0
StatoMacchina.MACCHINA_ATTIVA,30.44,0
StatoMacchina.MACCHINA_ATTIVA,29.86,0
StatoMacchina.MACCHINA_ATTIVA,27.84,0
StatoMacchina.MACCHINA_ATTIVA,29.24,0
StatoMacchina.MACCHINA_ATTIVA,31.7,0
StatoMacchina.MACCHINA_ATTIVA,34.19,0
StatoMacchina.MACCHINA_ATTIVA,33.47,0
StatoMacchina.MACCHINA_ATTIVA,35.44,0
StatoMacchina.MACCHINA_ATTIVA,34.78,0
StatoMacchina.MACCHINA_ATTIVA,39.43,0
StatoMacchina.MACCHINA_ATTIVA,39.56,0
StatoMacchina.ATTIVA_PROSSIMA_POMPA,44.1,0
StatoMacchina.MACCHINA_ATTIVA,41.66,1
StatoMacchina.MACCHINA_ATTIVA,42.03,1
StatoMacchina.MACCHINA_ATTIVA,43.08,1
StatoMacchina.MACCHINA_ATTIVA,41.32,1
StatoMacchina.MACCHINA_ATTIVA,40.11,1
StatoMacchina.MACCHINA_ATTIVA,37.38,1
StatoMacchina.MACCHINA_ATTIVA,36.97,1
StatoMacchina.MACCHINA_ATTIVA,36.8,1
StatoMacchina.MACCHINA_ATTIVA,40.65,1
StatoMacchina.MACCHINA_ATTIVA,42.38,1
StatoMacchina.MACCHINA_ATTIVA,37.76,1
StatoMacchina.MACCHINA_ATTIVA,33.42,1
StatoMacchina.MACCHINA_ATTIVA,37.13,1
StatoMacchina.MACCHINA_ATTIVA,32.25,1
StatoMacchina.MACCHINA_ATTIVA,29.68,1
StatoMacchina.MACCHINA_ATTIVA,28.83,1
StatoMacchina.MACCHINA_ATTIVA,28.32,1
StatoMacchina.DISATTIVA_ULTIMA_POMPA,24.1,1
StatoMacchina.MACCHINA_ATTIVA,28.13,0
StatoMacchina.MACCHINA_ATTIVA,31.25,0
StatoMacchina.MACCHINA_ATTIVA,28.51,0
StatoMacchina.MACCHINA_ATTIVA,24.95,0
StatoMacchina.MACCHINA_ATTIVA,26.27,0
StatoMacchina.MACCHINA_ATTIVA,21.45,0
StatoMacchina.MACCHINA_ATTIVA,26.28,0
StatoMacchina.MACCHINA_ATTIVA,27.38,0
StatoMacchina.MACCHINA_ATTIVA,23.12,0
StatoMacchina.MACCHINA_ATTIVA,26.58,0
StatoMacchina.MACCHINA_ATTIVA,24.7,0
StatoMacchina.MACCHINA_ATTIVA,20.98,0
StatoMacchina.MACCHINA_ATTIVA,23.0,0
StatoMacchina.MACCHINA_ATTIVA,25.77,0
StatoMacchina.MACCHINA_ATTIVA,27.39,0
StatoMacchina.MACCHINA_ATTIVA,27.91,0
StatoMacchina.MACCHINA_ATTIVA,24.89,0
StatoMacchina.MACCHINA_ATTIVA,25.09,0
StatoMacchina.MACCHINA_ATTIVA,29.77,0
StatoMacchina.MACCHINA_ATTIVA,28.61,0
StatoMacchina.MACCHINA_ATTIVA,32.91,0
StatoMacchina.MACCHINA_ATTIVA,30.16,0
StatoMacchina.MACCHINA_ATTIVA,30.75,0
StatoMacchina.MACCHINA_ATTIVA,29.89,0
StatoMacchina.MACCHINA_ATTIVA,31.27,0
StatoMacchina.MACCHINA_ATTIVA,30.53,0
StatoMacchina.MACCHINA_ATTIVA,30.01,0
StatoMacchina.MACCHINA_ATTIVA,25.19,0
StatoMacchina.MACCHINA_ATTIVA,22.91,0
StatoMacchina.MACCHINA_ATTIVA,22.97,0
StatoMacchina.MACCHINA_ATTIVA,21.18,0
StatoMacchina.MACCHINA_ATTIVA,19.67,0
StatoMacchina.MACCHINA_ATTIVA,18.71,0
StatoMacchina.MACCHINA_ATTIVA,21.96,0
StatoMacchina.MACCHINA_ATTIVA,19.62,0
StatoMacchina.MACCHINA_ATTIVA,21.18,0
StatoMacchina.MACCHINA_ATTIVA,25.2,0
StatoMacchina.MACCHINA_ATTIVA,25.69,0
StatoMacchina.MACCHINA_ATTIVA,22.58,0
StatoMacchina.MACCHINA_ATTIVA,25.08,0
StatoMacchina.MACCHINA_ATTIVA,28.43,0
StatoMacchina.MACCHINA_ATTIVA,31.18,0
StatoMacchina.MACCHINA_ATTIVA,36.09,0
StatoMacchina.MACCHINA_ATTIVA,33.81,0
StatoMacchina.MACCHINA_ATTIVA,32.05,0
StatoMacchina.MACCHINA_ATTIVA,35.41,0
StatoMacchina.MACCHINA_ATTIVA,36.17,0
StatoMacchina.ATTIVA_PROSSIMA_POMPA,40.61,0
StatoMacchina.MACCHINA_ATTIVA,40.29,1
StatoMacchina.MACCHINA_ATTIVA,38.74,1
StatoMacchina.MACCHINA_ATTIVA,40.33,1
StatoMacchina.MACCHINA_ATTIVA,36.58,1
StatoMacchina.MACCHINA_ATTIVA,41.53,1
StatoMacchina.MACCHINA_ATTIVA,39.19,1
StatoMacchina.MACCHINA_ATTIVA,35.22,1
StatoMacchina.MACCHINA_ATTIVA,35.27,1
StatoMacchina.MACCHINA_ATTIVA,30.71,1
StatoMacchina.MACCHINA_ATTIVA,30.64,1
StatoMacchina.MACCHINA_ATTIVA,28.93,1
StatoMacchina.MACCHINA_ATTIVA,29.62,1
