stato,livello_acqua,tot_pompe_attive
StatoMacchina.MACCHINA_ATTIVA,61.88,0
StatoMacchina.ATTIVA_PROSSIMA_POMPA,62.43,0
StatoMacchina.MACCHINA_ATTIVA,64.99,1
StatoMacchina.ATTIVA_PROSSIMA_POMPA,68.01,1
StatoMacchina.MACCHINA_ATTIVA,66.95,2
StatoMacchina.ATTIVA_PROSSIMA_POMPA,68.48,2
StatoMacchina.MACCHINA_ATTIVA,69.84,3
StatoMacchina.ATTIVA_PROSSIMA_POMPA,73.03,3
StatoMacchina.MACCHINA_ATTIVA,76.9,4
StatoMacchina.MACCHINA_ATTIVA,75.26,4
StatoMacchina.MACCHINA_ATTIVA,75.6,4
StatoMacchina.MACCHINA_ATTIVA,74.25,4
StatoMacchina.MACCHINA_ATTIVA,77.89,4
StatoMacchina.ATTIVA_PROSSIMA_POMPA,81.53,4
StatoMacchina.MACCHINA_ATTIVA,81.37,5
StatoMacchina.MACCHINA_ATTIVA,76.99,5
StatoMacchina.MACCHINA_ATTIVA,75.26,5
StatoMacchina.MACCHINA_ATTIVA,71.08,5
StatoMacchina.MACCHINA_ATTIVA,69.93,5
StatoMacchina.MACCHINA_ATTIVA,74.15,5
StatoMacchina.MACCHINA_ATTIVA,76.98,5
StatoMacchina.MACCHINA_ATTIVA,81.73,5
StatoMacchina.MACCHINA_ATTIVA,84.36,5
StatoMacchina.MACCHINA_ATTIVA,83.93,5
StatoMacchina.MACCHINA_ATTIVA,80.97,5
StatoMacchina.MACCHINA_ATTIVA,79.68,5
StatoMacchina.MACCHINA_ATTIVA,81.24,5
StatoMacchina.MACCHINA_ATTIVA,83.55,5
StatoMacchina.MACCHINA_ATTIVA,88.44,5
StatoMacchina.MACCHINA_ATTIVA,88.09,5
StatoMacchina.ATTIVA_PROSSIMA_POMPA,91.89,5
StatoMacchina.MACCHINA_ATTIVA,91.77,6
StatoMacchina.MACCHINA_ATTIVA,91.79,6
StatoMacchina.MACCHINA_ATTIVA,90.55,6
StatoMacchina.MACCHINA_ATTIVA,93.91,6
StatoMacchina.MACCHINA_ATTIVA,97.22,6
StatoMacchina.MACCHINA_ATTIVA,97.57,6
StatoMacchina.MACCHINA_ATTIVA,93.47,6
StatoMacchina.MACCHINA_ATTIVA,88.87,6
StatoMacchina.MACCHINA_ATTIVA,86.92,6
StatoMacchina.MACCHINA_ATTIVA,82.22,6
StatoMacchina.MACCHINA_ATTIVA,80.5,6
StatoMacchina.MACCHINA_ATTIVA,83.11,6
StatoMacchina.MACCHINA_ATTIVA,79.96,6
StatoMacchina.MACCHINA_ATTIVA,82.14,6
StatoMacchina.MACCHINA_ATTIVA,79.69,6
StatoMacchina.MACCHINA_ATTIVA,81.05,6
StatoMacchina.MACCHINA_ATTIVA,84.86,6
StatoMacchina.MACCHINA_ATTIVA,85.07,6
StatoMacchina.MACCHINA_ATTIVA,86.73,6
StatoMacchina.MACCHINA_ATTIVA,88.36,6
StatoMacchina.MACCHINA_ATTIVA,87.85,6
StatoMacchina.MACCHINA_ATTIVA,88.19,6
StatoMacchina.MACCHINA_ATTIVA,91.57,6
StatoMacchina.MACCHINA_ATTIVA,86.6,6
StatoMacchina.MACCHINA_ATTIVA,89.43,6
StatoMacchina.MACCHINA_ATTIVA,85.07,6
StatoMacchina.MACCHINA_ATTIVA,82.58,6
StatoMacchina.MACCHINA_ATTIVA,77.62,6
StatoMacchina.MACCHINA_ATTIVA,81.71,6
StatoMacchina.MACCHINA_ATTIVA,83.26,6
StatoMacchina.MACCHINA_ATTIVA,81.12,6
StatoMacchina.MACCHINA_ATTIVA,84.13,6
StatoMacchina.MACCHINA_ATTIVA,80.69,6
StatoMacchina.MACCHINA_ATTIVA,77.08,6
StatoMacchina.MACCHINA_ATTIVA,79.4,6
StatoMacchina.MACCHINA_ATTIVA,78.97,6
StatoMacchina.MACCHINA_ATTIVA,80.06,6
StatoMacchina.MACCHINA_ATTIVA,84.72,6
StatoMacchina.MACCHINA_ATTIVA,86.41,6
StatoMacchina.MACCHINA_ATTIVA,89.21,6
StatoMacchina.MACCHINA_ATTIVA,92.91,6
StatoMacchina.MACCHINA_ATTIVA,94.83,6
StatoMacchina.MACCHINA_ATTIVA,92.34,6
StatoMacchina.MACCHINA_ATTIVA,90.32,6
StatoMacchina.MACCHINA_ATTIVA,92.15,6
StatoMacchina.MACCHINA_ATTIVA,90.76,6
StatoMacchina.MACCHINA_ATTIVA,86.07,6
StatoMacchina.MACCHINA_ATTIVA,81.77,6
StatoMacchina.MACCHINA_ATTIVA,76.98,6
StatoMacchina.MACCHINA_ATTIVA,73.67,6
StatoMacchina.MACCHINA_ATTIVA,72.08,6
StatoMacchina.MACCHINA_ATTIVA,71.29,6
StatoMacchina.MACCHINA_ATTIVA,70.55,6
StatoMacchina.MACCHINA_ATTIVA,74.76,6
StatoMacchina.MACCHINA_ATTIVA,75.79,6
StatoMacchina.MACCHINA_ATTIVA,74.96,6
StatoMacchina.MACCHINA_ATTIVA,79.67,6
StatoMacchina.MACCHINA_ATTIVA,79.38,6
StatoMacchina.MACCHINA_ATTIVA,77.0,6
StatoMacchina.MACCHINA_ATTIVA,78.84,6
StatoMacchina.MACCHINA_ATTIVA,81.54,6
StatoMacchina.MACCHINA_ATTIVA,77.9,6
StatoMacchina.MACCHINA_ATTIVA,82.54,6
StatoMacchina.MACCHINA_ATTIVA,86.48,6
StatoMacchina.MACCHINA_ATTIVA,84.56,6
StatoMacchina.MACCHINA_ATTIVA,81.3,6
StatoMacchina.MACCHINA_ATTIVA,82.22,6
StatoMacchina.MACCHINA_ATTIVA,79.14,6
StatoMacchina.MACCHINA_ATTIVA,81.52,6
StatoMacchina.MACCHINA_ATTIVA,82.14,6
StatoMacchina.MACCHINA_ATTIVA,83.09,6
StatoMacchina.MACCHINA_ATTIVA,81.42,6
StatoMacchina.MACCHINA_ATTIVA,80.33,6
StatoMacchina.MACCHINA_ATTIVA,81.27,6
StatoMacchina.MACCHINA_ATTIVA,80.22,6
StatoMacchina.MACCHINA_ATTIVA,78.88,6
StatoMacchina.MACCHINA_ATTIVA,77.03,6
StatoMacchina.MACCHINA_ATTIVA,75.63,6
StatoMacchina.MACCHINA_ATTIVA,73.0,6
StatoMacchina.MACCHINA_ATTIVA,70.05,6
StatoMacchina.MACCHINA_ATTIVA,69.41,6
StatoMacchina.MACCHINA_ATTIVA,68.15,6
StatoMacchina.MACCHINA_ATTIVA,72.71,6
StatoMacchina.MACCHINA_ATTIVA,77.3,6
StatoMacchina.MACCHINA_ATTIVA,79.81,6
StatoMacchina.MACCHINA_ATTIVA,79.08,6
StatoMacchina.MACCHINA_ATTIVA,75.27,6
StatoMacchina.MACCHINA_ATTIVA,70.42,6
StatoMacchina.MACCHINA_ATTIVA,73.72,6
StatoMacchina.MACCHINA_ATTIVA,72.22,6
StatoMacchina.MACCHINA_ATTIVA,69.72,6
StatoMacchina.MACCHINA_ATTIVA,71.89,6
StatoMacchina.MACCHINA_ATTIVA,72.01,6
StatoMacchina.MACCHINA_ATTIVA,74.28,6
StatoMacchina.MACCHINA_ATTIVA,78.27,6
StatoMacchina.MACCHINA_ATTIVA,74.42,6
StatoMacchina.MACCHINA_ATTIVA,70.53,6
StatoMacchina.MACCHINA_ATTIVA,72.31,6
StatoMacchina.MACCHINA_ATTIVA,76.9,6
StatoMacchina.MACCHINA_ATTIVA,72.63,6
StatoMacchina.MACCHINA_ATTIVA,77.56,6
StatoMacchina.MACCHINA_ATTIVA,73.74,6
StatoMacchina.MACCHINA_ATTIVA,71.3,6
StatoMacchina.MACCHINA_ATTIVA,73.66,6
StatoMacchina.MACCHINA_ATTIVA,77.39,6
StatoMacchina.MACCHINA_ATTIVA,82.27,6
StatoMacchina.MACCHINA_ATTIVA,85.93,6
StatoMacchina.MACCHINA_ATTIVA,87.75,6
StatoMacchina.MACCHINA_ATTIVA,90.97,6
StatoMacchina.MACCHINA_ATTIVA,93.96,6
StatoMacchina.MACCHINA_ATTIVA,95.16,6
StatoMacchina.MACCHINA_ATTIVA,96.52,6
StatoMacchina.MACCHINA_ATTIVA,98.1,6
StatoMacchina.MACCHINA_ATTIVA,97.4,6
StatoMacchina.MACCHINA_ATTIVA,100,6
StatoMacchina.MACCHINA_ATTIVA,100,6
StatoMacchina.MACCHINA_ATTIVA,100,6
StatoMacchina.MACCHINA_ATTIVA,100,6
StatoMacchina.MACCHINA_ATTIVA,100,6
StatoMacchina.MACCHINA_ATTIVA,96.15,6
StatoMacchina.MACCHINA_ATTIVA,96.16,6
StatoMacchina.MACCHINA_ATTIVA,98.51,6
StatoMacchina.MACCHINA_ATTIVA,95.69,6
StatoMacchina.MACCHINA_ATTIVA,93.02,6
StatoMacchina.MACCHINA_ATTIVA,88.3,6
StatoMacchina.MACCHINA_ATTIVA,87.46,6
StatoMacchina.MACCHINA_ATTIVA,91.7,6
StatoMacchina.MACCHINA_ATTIVA,90.93,6
StatoMacchina.MACCHINA_ATTIVA,90.03,6
StatoMacchina.MACCHINA_ATTIVA,89.09,6
StatoMacchina.MACCHINA_ATTIVA,93.1,6
StatoMacchina.MACCHINA_ATTIVA,93.68,6
StatoMacchina.MACCHINA_ATTIVA,93.07,6
StatoMacchina.MACCHINA_ATTIVA,97.37,6
StatoMacchina.MACCHINA_ATTIVA,98.25,6
StatoMacchina.MACCHINA_ATTIVA,97.5,6
StatoMacchina.MACCHINA_ATTIVA,99.36,6
StatoMacchina.MACCHINA_ATTIVA,100,6
StatoMacchina.MACCHINA_ATTIVA,95.83,6
StatoMacchina.MACCHINA_ATTIVA,92.34,6
StatoMacchina.MACCHINA_ATTIVA,90.31,6
StatoMacchina.MACCHINA_ATTIVA,92.65,6
StatoMacchina.MACCHINA_ATTIVA,94.57,6
StatoMacchina.MACCHINA_ATTIVA,92.44,6
StatoMacchina.MACCHINA_ATTIVA,88.38,6
StatoMacchina.MACCHINA_ATTIVA,86.2,6
StatoMacchina.MACCHINA_ATTIVA,85.48,6
StatoMacchina.MACCHINA_ATTIVA,84.34,6
StatoMacchina.MACCHINA_ATTIVA,85.47,6
StatoMacchina.MACCHINA_ATTIVA,86.58,6
StatoMacchina.MACCHINA_ATTIVA,90.88,6
StatoMacchina.MACCHINA_ATTIVA,88.46,6
StatoMacchina.MACCHINA_ATTIVA,91.15,6
