stato,livello_acqua,tot_pompe_attive
StatoMacchina.MACCHINA_ATTIVA,55.81,0
StatoMacchina.ATTIVA_PROSSIMA_POMPA,54.91,0
StatoMacchina.MACCHINA_ATTIVA,52.87,1
StatoMacchina.ATTIVA_PROSSIMA_POMPA,52.07,1
StatoMacchina.MACCHINA_ATTIVA,52.51,2
StatoMacchina.MACCHINA_ATTIVA,52.67,2
StatoMacchina.MACCHINA_ATTIVA,55.66,2
StatoMacchina.MACCHINA_ATTIVA,56.0,2
StatoMacchina.MACCHINA_ATTIVA,59.27,2
StatoMacchina.MACCHINA_ATTIVA,54.58,2
StatoMacchina.MACCHINA_ATTIVA,59.18,2
StatoMacchina.MACCHINA_ATTIVA,57.62,2
StatoMacchina.ATTIVA_PROSSIMA_POMPA,60.22,2
StatoMacchina.MACCHINA_ATTIVA,60.4,3
StatoMacchina.MACCHINA_ATTIVA,57.3,3
StatoMacchina.MACCHINA_ATTIVA,53.89,3
StatoMacchina.MACCHINA_ATTIVA,54.3,3
StatoMacchina.MACCHINA_ATTIVA,50.06,3
StatoMacchina.MACCHINA_ATTIVA,51.84,3
StatoMacchina.MACCHINA_ATTIVA,53.69,3
StatoMacchina.MACCHINA_ATTIVA,53.96,3
StatoMacchina.MACCHINA_ATTIVA,50.53,3
StatoMacchina.MACCHINA_ATTIVA,50.35,3
StatoMacchina.MACCHINA_ATTIVA,45.74,3
StatoMacchina.MACCHINA_ATTIVA,41.68,3
StatoMacchina.DISATTIVA_ULTIMA_POMPA,38.67,3
StatoMacchina.MACCHINA_ATTIVA,40.4,2
StatoMacchina.MACCHINA_ATTIVA,37.18,2
StatoMacchina.DISATTIVA_ULTIMA_POMPA,33.25,2
StatoMacchina.MACCHINA_ATTIVA,35.29,1
StatoMacchina.MACCHINA_ATTIVA,31.82,1
StatoMacchina.MACCHINA_ATTIVA,33.42,1
StatoMacchina.MACCHINA_ATTIVA,37.82,1
StatoMacchina.MACCHINA_ATTIVA,38.08,1
StatoMacchina.MACCHINA_ATTIVA,34.54,1
StatoMacchina.MACCHINA_ATTIVA,39.15,1
StatoMacchina.MACCHINA_ATTIVA,35.9,1
StatoMacchina.MACCHINA_ATTIVA,34.27,1
StatoMacchina.MACCHINA_ATTIVA,33.99,1
StatoMacchina.MACCHINA_ATTIVA,33.34,1
StatoMacchina.MACCHINA_ATTIVA,37.75,1
StatoMacchina.MACCHINA_ATTIVA,33.03,1
StatoMacchina.MACCHINA_ATTIVA,32.98,1
StatoMacchina.MACCHINA_ATTIVA,37.74,1
StatoMacchina.MACCHINA_ATTIVA,39.32,1
StatoMacchina.MACCHINA_ATTIVA,39.27,1
StatoMacchina.MACCHINA_ATTIVA,39.53,1
StatoMacchina.MACCHINA_ATTIVA,35.18,1
StatoMacchina.MACCHINA_ATTIVA,31.21,1
StatoMacchina.MACCHINA_ATTIVA,35.13,1
StatoMacchina.MACCHINA_ATTIVA,32.41,1
StatoMacchina.MACCHINA_ATTIVA,32.74,1
StatoMacchina.MACCHINA_ATTIVA,30.4,1
StatoMacchina.MACCHINA_ATTIVA,32.91,1
StatoMacchina.MACCHINA_ATTIVA,37.36,1
StatoMacchina.MACCHINA_ATTIVA,36.47,1
StatoMacchina.MACCHINA_ATTIVA,36.08,1
StatoMacchina.MACCHINA_ATTIVA,35.27,1
StatoMacchina.MACCHINA_ATTIVA,35.14,1
StatoMacchina.MACCHINA_ATTIVA,30.79,1
StatoMacchina.MACCHINA_ATTIVA,34.91,1
StatoMacchina.MACCHINA_ATTIVA,37.11,1
StatoMacchina.MACCHINA_ATTIVA,38.67,1
StatoMacchina.MACCHINA_ATTIVA,37.64,1
StatoMacchina.MACCHINA_ATTIVA,40.77,1
StatoMacchina.MACCHINA_ATTIVA,40.59,1
StatoMacchina.MACCHINA_ATTIVA,38.94,1
StatoMacchina.MACCHINA_ATTIVA,35.45,1
StatoMacchina.MACCHINA_ATTIVA,39.82,1
StatoMacchina.MACCHINA_ATTIVA,36.14,1
StatoMacchina.MACCHINA_ATTIVA,32.81,1
StatoMacchina.MACCHINA_ATTIVA,35.13,1
StatoMacchina.MACCHINA_ATTIVA,36.78,1
StatoMacchina.MACCHINA_ATTIVA,37.75,1
StatoMacchina.MACCHINA_ATTIVA,40.69,1
StatoMacchina.MACCHINA_ATTIVA,36.56,1
StatoMacchina.MACCHINA_ATTIVA,37.33,1
StatoMacchina.MACCHINA_ATTIVA,38.53,1
StatoMacchina.MACCHINA_ATTIVA,34.75,1
StatoMacchina.MACCHINA_ATTIVA,37.0,1
StatoMacchina.MACCHINA_ATTIVA,37.12,1
StatoMacchina.MACCHINA_ATTIVA,39.56,1
StatoMacchina.MACCHINA_ATTIVA,37.83,1
StatoMacchina.MACCHINA_ATTIVA,40.35,1
StatoMacchina.MACCHINA_ATTIVA,35.61,1
StatoMacchina.MACCHINA_ATTIVA,39.29,1
StatoMacchina.MACCHINA_ATTIVA,42.58,1
StatoMacchina.MACCHINA_ATTIVA,45.24,1
StatoMacchina.MACCHINA_ATTIVA,43.6,1
StatoMacchina.MACCHINA_ATTIVA,42.92,1
StatoMacchina.MACCHINA_ATTIVA,40.64,1
StatoMacchina.MACCHINA_ATTIVA,38.08,1
StatoMacchina.MACCHINA_ATTIVA,33.32,1
StatoMacchina.MACCHINA_ATTIVA,29.38,1
StatoMacchina.MACCHINA_ATTIVA,26.06,1
StatoMacchina.MACCHINA_ATTIVA,27.34,1
StatoMacchina.DISATTIVA_ULTIMA_POMPA,22.55,1
StatoMacchina.MACCHINA_ATTIVA,23.08,0
StatoMacchina.MACCHINA_ATTIVA,26.97,0
