stato,livello_acqua,tot_pompe_attive
StatoMacchina.ATTIVA_PROSSIMA_POMPA,71.2,3
StatoMacchina.MACCHINA_ATTIVA,67.98,4
StatoMacchina.MACCHINA_ATTIVA,72.0,4
StatoMacchina.MACCHINA_ATTIVA,67.15,4
StatoMacchina.MACCHINA_ATTIVA,64.66,4
StatoMacchina.MACCHINA_ATTIVA,63.4,4
StatoMacchina.MACCHINA_ATTIVA,64.07,4
StatoMacchina.MACCHINA_ATTIVA,66.39,4
StatoMacchina.MACCHINA_ATTIVA,66.95,4
StatoMacchina.MACCHINA_ATTIVA,63.03,4
StatoMacchina.MACCHINA_ATTIVA,59.71,4
StatoMacchina.MACCHINA_ATTIVA,64.51,4
StatoMacchina.MACCHINA_ATTIVA,68.52,4
StatoMacchina.MACCHINA_ATTIVA,65.56,4
StatoMacchina.MACCHINA_ATTIVA,67.88,4
StatoMacchina.MACCHINA_ATTIVA,65.74,4
StatoMacchina.MACCHINA_ATTIVA,64.19,4
StatoMacchina.MACCHINA_ATTIVA,66.27,4
StatoMacchina.MACCHINA_ATTIVA,69.61,4
StatoMacchina.MACCHINA_ATTIVA,72.43,4
StatoMacchina.MACCHINA_ATTIVA,72.45,4
StatoMacchina.MACCHINA_ATTIVA,74.96,4
StatoMacchina.MACCHINA_ATTIVA,73.06,4
StatoMacchina.MACCHINA_ATTIVA,73.84,4
StatoMacchina.MACCHINA_ATTIVA,76.13,4
StatoMacchina.MACCHINA_ATTIVA,71.68,4
StatoMacchina.MACCHINA_ATTIVA,73.07,4
StatoMacchina.MACCHINA_ATTIVA,73.85,4
StatoMacchina.MACCHINA_ATTIVA,75.87,4
StatoMacchina.MACCHINA_ATTIVA,71.17,4
StatoMacchina.MACCHINA_ATTIVA,66.49,4
StatoMacchina.MACCHINA_ATTIVA,63.83,4
StatoMacchina.MACCHINA_ATTIVA,62.93,4
StatoMacchina.MACCHINA_ATTIVA,61.08,4
StatoMacchina.MACCHINA_ATTIVA,63.7,4
StatoMacchina.MACCHINA_ATTIVA,66.26,4
StatoMacchina.MACCHINA_ATTIVA,65.04,4
StatoMacchina.MACCHINA_ATTIVA,67.81,4
StatoMacchina.MACCHINA_ATTIVA,67.98,4
StatoMacchina.MACCHINA_ATTIVA,71.77,4
StatoMacchina.MACCHINA_ATTIVA,67.79,4
StatoMacchina.MACCHINA_ATTIVA,70.52,4
StatoMacchina.MACCHINA_ATTIVA,73.53,4
StatoMacchina.MACCHINA_ATTIVA,77.77,4
StatoMacchina.MACCHINA_ATTIVA,79.77,4
StatoMacchina.MACCHINA_ATTIVA,75.62,4
StatoMacchina.MACCHINA_ATTIVA,73.69,4
StatoMacchina.MACCHINA_ATTIVA,78.19,4
StatoMacchina.ATTIVA_PROSSIMA_POMPA,81.97,4
StatoMacchina.MACCHINA_ATTIVA,78.84,5
StatoMacchina.MACCHINA_ATTIVA,82.37,5
StatoMacchina.MACCHINA_ATTIVA,80.52,5
StatoMacchina.MACCHINA_ATTIVA,82.27,5
StatoMacchina.MACCHINA_ATTIVA,79.14,5
StatoMacchina.MACCHINA_ATTIVA,78.93,5
StatoMacchina.MACCHINA_ATTIVA,78.68,5
StatoMacchina.MACCHINA_ATTIVA,79.37,5
StatoMacchina.MACCHINA_ATTIVA,79.42,5
StatoMacchina.MACCHINA_ATTIVA,81.39,5
StatoMacchina.MACCHINA_ATTIVA,83.72,5
StatoMacchina.MACCHINA_ATTIVA,84.47,5
StatoMacchina.MACCHINA_ATTIVA,87.17,5
StatoMacchina.MACCHINA_ATTIVA,85.3,5
StatoMacchina.MACCHINA_ATTIVA,82.61,5
StatoMacchina.MACCHINA_ATTIVA,86.78,5
StatoMacchina.MACCHINA_ATTIVA,81.99,5
StatoMacchina.MACCHINA_ATTIVA,78.28,5
StatoMacchina.MACCHINA_ATTIVA,73.92,5
StatoMacchina.MACCHINA_ATTIVA,73.78,5
StatoMacchina.MACCHINA_ATTIVA,77.63,5
StatoMacchina.MACCHINA_ATTIVA,82.04,5
StatoMacchina.MACCHINA_ATTIVA,84.47,5
StatoMacchina.MACCHINA_ATTIVA,83.99,5
StatoMacchina.MACCHINA_ATTIVA,84.21,5
StatoMacchina.MACCHINA_ATTIVA,82.78,5
StatoMacchina.MACCHINA_ATTIVA,82.36,5
StatoMacchina.MACCHINA_ATTIVA,79.31,5
StatoMacchina.MACCHINA_ATTIVA,76.21,5
StatoMacchina.MACCHINA_ATTIVA,80.93,5
StatoMacchina.MACCHINA_ATTIVA,80.45,5
StatoMacchina.MACCHINA_ATTIVA,83.36,5
StatoMacchina.MACCHINA_ATTIVA,78.37,5
StatoMacchina.MACCHINA_ATTIVA,76.19,5
StatoMacchina.MACCHINA_ATTIVA,81.04,5
StatoMacchina.MACCHINA_ATTIVA,76.08,5
StatoMacchina.MACCHINA_ATTIVA,71.76,5
StatoMacchina.MACCHINA_ATTIVA,66.83,5
StatoMacchina.MACCHINA_ATTIVA,63.66,5
StatoMacchina.MACCHINA_ATTIVA,63.43,5
StatoMacchina.MACCHINA_ATTIVA,60.96,5
